,tpc_num,E_SS,pTo_SS,Th_SS,Eh_SS,E_Arr,p0,AIC_SS,AIC_Arr,AICc_SS,AICc_Arr,LL_SS,LL_Arr,n,LkRatio,X2,p,best_mod,best_mod2,BA_pts,T0,SE_SS,SE_BA
110,189,1.093480769,0.05970877,31.74470093,3.133666205,0.344422211,0.078191054,-49.35528272,5.008207164,-89.35528272,17.00820716,28.67764136,-0.504103582,4,-29.18174494,58.36348989,1.06E-13,BA,BA,NA,20,1.32E-05,0.019118806
111,190,0.646800766,0.016146614,127.6083959,3.437901771,0.646799011,0.016146729,-0.735558902,-4.735558787,-40.7355589,7.264441213,4.367779451,4.367779394,4,-5.73E-08,1.15E-07,0.499999971,BA,BA,NA,15,0.001333446,0.001333449
112,191,0.879736299,0.011742301,28.92615128,14.11441251,0.775977027,0.01219506,-27.16437272,-8.607092418,-67.16437272,3.392907582,17.58218636,6.303546209,4,-11.27864015,22.55728031,6.32E-06,BA,BA,NA,17,3.75E-05,0.000852941
113,192,0.828690377,0.01253205,30.87198538,3.274493329,0.6601575,0.013081806,-54.10274625,-8.143439398,-94.10274625,3.856560602,31.05137313,6.071719699,4,-24.97965343,49.95930685,7.09E-12,BA,BA,NA,17,5.01E-07,0.000804012
114,193,1.183219126,0.019549571,30.30972934,2.321075808,0.701481943,0.028836027,-12.48291339,6.757991303,7.517086606,9.757991303,10.2414567,-1.378995651,7,-11.62045235,23.2409047,4.49E-06,SS,SS,NA,13,0.002053887,0.016095738
115,194,1.14972597,0.069523384,30,1.432285519,0.873699576,0.073098683,0.670846678,-0.959880228,20.67084668,2.040119772,3.664576661,2.479940114,7,-1.184636547,2.369273093,0.152928662,BA,BA,NA,13,0.013660738,0.014360575
116,198,0.84479853,0.032272973,30,2.541901273,0.515572436,0.036206105,-0.567552974,1.350175187,-40.56755297,13.35017519,4.283776487,1.324912406,4,-2.958864081,5.917728161,0.025938906,BA,BA,NA,15,0.002780419,0.006371935
117,199,0.950409449,0.024728914,25,2.920271417,0.69403848,0.027841605,-0.250852586,2.229849328,Inf,8.229849328,4.125426293,0.885075336,5,-3.240350957,6.480701914,0.019575076,SS,BA,NA,8,0.003306154,0.008606067
118,201,0.729541705,0.024233502,30,1.338576174,0.41140582,0.0242986,-13.76171793,-4.369091,Inf,1.630909,10.88085896,4.184546,5,-7.624599305,15.24919861,0.000244145,BA,BA,4,15,0.000643106,0.005093614
119,202,1.024273854,0.045259944,27,1.498259605,0.215917009,0.038844692,-20.73898817,-8.593909213,19.26101183,-4.593909213,14.36949408,6.296954607,6,-8.072539478,16.14507896,0.000155995,SS,SS,NA,21,0.000515495,0.001768805
120,203,0.505943268,0.038586916,35.99723873,3.798191135,0.2706485,0.042531924,-13.804734,-5.889358744,26.195266,-1.889358744,10.902367,4.944679372,6,-5.957687626,11.91537525,0.001292942,SS,SS,NA,21,0.000834611,0.002813775
121,204,0.571398336,0.039854341,35.89221152,3.48350352,0.227055201,0.043321685,-18.82013137,-5.925263779,Inf,0.074736221,13.41006569,4.962631889,5,-8.447433797,16.89486759,0.000107225,SS,SS,NA,24,0.00043962,0.002409523
122,206,1.369165854,0.015379215,20,1.560976634,1.051900426,0.016221279,-11.85214265,-6.727722052,Inf,-0.727722052,9.926071326,5.363861026,5,-4.5622103,9.124420601,0.00521948,SS,BA,NA,5,0.000365779,0.002579444
123,207,1.546541599,0.037014087,25,2.749967776,0.612674827,0.049469548,4.473077069,6.781963054,-35.52692293,18.78196305,1.763461466,-1.390981527,4,-3.154442993,6.308885985,0.021331079,BA,BA,NA,15,0.009955838,0.018765444
124,208,0.45896616,0.022467338,26.00861042,1.215866526,0.0533893,0.02859584,-1.1911394,4.800187038,38.8088606,8.800187038,4.5955697,-0.400093519,6,-4.995663219,9.991326438,0.003383616,SS,SS,NA,5,0.001587742,0.00408684
125,211,0.668877278,0.094152085,34.84051537,2.539246565,0.315398268,0.105279889,-39.10537615,-1.067660269,-79.10537615,10.93233973,23.55268808,2.533830134,4,-21.01885794,42.03771589,3.72E-10,BA,BA,NA,20,4.06E-05,0.011766492
126,212,0.283118519,0.113564186,35.51067775,8.532578697,0.069083058,0.125573675,-42.72677925,-1.12435151,-82.72677925,10.87564849,25.36338963,2.562175755,4,-22.80121387,45.60242774,6.26E-11,BA,BA,NA,20,2.88E-05,0.010309425
127,213,0.25418196,0.117540244,36.96836219,9.917694506,0.212914206,0.119691865,-34.88228118,-14.21790572,-74.88228118,-2.217905718,21.44114059,9.108952859,4,-12.33218773,24.66437546,2.20E-06,BA,BA,NA,20,9.23E-05,0.002317352
128,216,0.936514947,0.058267475,34.64932754,1.175506443,0.756986976,0.057566349,-45.08164358,-10.97486631,-85.08164358,1.025133686,26.54082179,7.487433157,4,-19.05338863,38.10677726,2.66E-09,BA,BA,NA,15,2.37E-05,0.003656795
129,217,1.024398009,0.051603208,30,1.567329922,0.703777046,0.053420644,-4.369648096,-2.914116228,-44.3696481,9.085883772,6.184824048,3.457058114,4,-2.727765934,5.455531868,0.032682578,BA,BA,NA,15,0.003235144,0.006598583
130,218,1.500182662,0.052435385,29.91530707,27.21740728,1.121001188,0.06389967,8.840382081,7.135583625,-31.15961792,19.13558363,-0.420191041,-1.567791813,4,-1.147600772,2.295201544,0.158698683,BA,BA,NA,15,0.028936613,0.073947256
